Transect,Date,Site,Coordinates
East,1/15/22,Trout Cove (TRC),"25.20691, -80.53461"
East,1/15/22,South Nest Key (SN),"25.13093, -80.51186"
East,1/15/22,Upper Cross (UC),"25.05446, -80.56281"
East,1/15/22,East Key (EK),"24.99625, -80.61240"
East,1/15/22,Manatee Key (MK),"25.07055, -80.62050"
Central,1/18/22,Terrapin Bay (TB),"25.13956, -80.71870"
Central,1/18/22,Beat Ass Lake (BAL),"25.06083, -80.65025"
Central,1/18/22,Porpoise Lake (PL),"25.02528, -80.64328"
Central,1/14/22,Twin Key (TK),"24.95409, -80.71839"
Central,1/18/22,Little Madeira Bay (LM),"25.17312, -80.63242"
West,1/18/22,Rabbit Key (RK),"25.00502, -80.86056"
West,1/18/22,Johnson Key (JK),"25.05349, -80.90870"
West,1/18/22,Tin Can (TC),"25.12301, -80.91133"
West,1/14/22,Nine Mile Bank (NMB),"24.92677, -80.82191"
West,1/15/22,Oxfoot Bank (OB),"25.01627, -81.00374"
West,1/17/22,Upper Arsnicker Keys (UAK),"24.93977, -80.87200"
