Station,Lat,Lon,PW slope abs 350 cm,PW slope abs 412 cm,PW Flux 350,PW Flux 412,PW Flux 350 in BBL ,PW Flux 412 in BBL ,PW Flux 350 in WC ,PW Flux 412 in WC,BC slope abs 350 cm,BC slope abs 412 cm,BC Flux 350,BC Flux 412,BC Flux 350 in BBL ,BC Flux 412 in BBL,BC Flux 350 in WC ,BC Flux 412 in WC 
St.11,28.202903,-89.590957,0.295748382,0.210346085,4.343952234,3.089563302,2.171976117,1.544781651,0.004650912,0.003307884,0.006443629,0.003565425,0.036084324,0.019966383,0.018042162,0.009983191,3.86E-05,2.14E-05
St.12,28.595085,-88.892108,16.62242561,6.445172783,244.1501874,94.66669783,122.0750937,47.33334892,0.251701224,0.097594534,0.006564065,0.003348531,0.022842946,0.011652888,0.011421473,0.005826444,2.35E-05,1.20E-05
St.13,28.528555,-89.609013,2.545060568,0.879147794,37.38184963,12.91292281,18.69092481,6.456461403,0.077395134,0.02673483,0.011737132,0.00434116,0.037558822,0.013891711,0.018779411,0.006945855,7.78E-05,2.88E-05
St.14,28.726274,-89.62191,25.29023,11.84729,371.4628982,174.0129955,185.7314491,87.00649776,4.192583502,1.964029295,0.006574964,0.001156951,0.024984864,0.004396416,0.012492432,0.002198208,0.000281996,4.96E-05
St.15,28.948919,-88.8499,65.87912236,40.62138421,967.6325492,596.6468913,483.8162746,298.3234456,3.652822005,2.252347645,0.005122545,0.001598114,0.01721175,0.005369662,0.008605875,0.002684831,6.50E-05,2.03E-05
St.16,28.888246,-89.541178,74.52837,47.16873,1094.672699,692.8143062,547.3363493,346.4071531,18.80880925,11.90402588,0.034610626,0.009822765,0.110754003,0.031432847,0.055377001,0.015716424,0.00190299,0.000540083
St.2,28.898021,-89.602153,55.40346917,38.89321328,813.7661551,571.2635167,406.8830776,285.6317583,13.02025848,9.140216267,,,,,,,,
St.4,28.79584,-90.70313,48.34655,28.72499,710.1141264,421.9126531,355.0570632,210.9563266,43.03721978,25.57046383,,,,,,,,
St.5B,28.806587,-91.335981,33.09082,16.98298,486.0379642,249.4460102,243.0189821,124.7230051,39.51528164,20.28016343,0.010054151,0.006703279,0.028151623,0.01876918,0.014075811,0.00938459,0.00228875,0.00152595
St.7,28.91026,-89.871473,23.4624,11.515,344.6157312,169.13232,172.3078656,84.56616,8.791217633,4.3146,0.012493261,0.009360357,0.050972504,0.038190258,0.025486252,0.019095129,0.001300319,0.000974241
St.9 ,28.785411,-89.597605,19.52159341,9.553408414,286.733164,140.3204628,143.366582,70.16023139,3.557483424,1.74094867,0.019916725,0.007820898,0.054970161,0.021585678,0.027485081,0.010792839,0.000682012,0.000267812
St.MK,28.5717,-90.19601,29.76792,19.17741,437.231209,281.6777981,218.6156045,140.838899,26.49886115,17.0713817,0.018198424,0.01376612,0.094995772,0.071859148,0.047497886,0.035929574,0.00575732,0.0043551
